[DubaiMatrixASI] 14:32:40.393    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905449 (via socket)
[DubaiMatrixASI] 14:32:40.399     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|SLIPPAGE_PROTECTION
[DubaiMatrixASI] 14:32:40.399     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|SLIPPAGE_PROTECTION
[DubaiMatrixASI] 14:32:41.636    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905410 | Aberto por 387s | Profit=$7.79
[DubaiMatrixASI] 14:32:41.637    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905410 (via socket)
[DubaiMatrixASI] 14:32:41.637    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905443 | Aberto por 387s | Profit=$7.90
[DubaiMatrixASI] 14:32:41.638    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905443 (via socket)
[DubaiMatrixASI] 14:32:41.638    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905449 | Aberto por 387s | Profit=$8.55
[DubaiMatrixASI] 14:32:41.639    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905449 (via socket)
[DubaiMatrixASI] 14:32:41.896    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905443 | Aberto por 387s | Profit=$16.86
[DubaiMatrixASI] 14:32:41.896     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|SUCCESS|1436848075|68126.58
[DubaiMatrixASI] 14:32:41.901    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905443 (via socket)
[DubaiMatrixASI] 14:32:41.911    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905449 | Aberto por 387s | Profit=$17.51
[DubaiMatrixASI] 14:32:41.917    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905449 (via socket)
[DubaiMatrixASI] 14:32:42.096     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|SUCCESS|1436848213|68116.44
[DubaiMatrixASI] 14:32:42.138    OMEGA │ ⚡ ⏰ TIME DECAY EXIT: Ticket 1586905449 | Aberto por 387s | Profit=$20.96
[DubaiMatrixASI] 14:32:42.139    OMEGA │ ⚡ ⚡ FAST CLOSE SINALIZADO: ticket=1586905449 (via socket)
[DubaiMatrixASI] 14:32:42.298     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|SUCCESS|1436848294|68116.44
[DubaiMatrixASI] 14:32:42.303     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|NOT_FOUND
[DubaiMatrixASI] 14:32:42.304     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|NOT_FOUND
[DubaiMatrixASI] 14:32:42.306     INFO │ 📩 Resposta EA Socket: RESULT|CLOSE|ERROR|NOT_FOUND
[DubaiMatrixASI] 14:32:50.529     INFO │ 💫 Cycle #2900 | Action=WAIT | Signal=-0.520 | Coherence=0.61 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: MC_SCORE_LOW(-0.125<-0.06315023452579993) MC[score=-0.125 WP=50.6% EV=+4.97 CVaR=-542.72 sim=34.2ms]
[DubaiMatrixASI] 14:33:03.301     INFO │ 💫 Cycle #2950 | Action=WAIT | Signal=-0.307 | Coherence=0.58 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: SUPERPOSITION (agentes não convergiram)
[DubaiMatrixASI] 14:33:16.005    OMEGA │ ⚡ 🧬 Gen #5: 3 mutações aplicadas | Tipo=uniform | Fitness=50.0000
[DubaiMatrixASI] 14:33:16.009    OMEGA │ ⚡ 🔮 [JAVA PnL PREDICTOR] IMPOSSIBLE:NEGATIVE_EXPECTANCY
[DubaiMatrixASI] 14:33:16.010     INFO │ 💫 Cycle #3000 | Action=WAIT | Signal=-0.301 | Coherence=0.56 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: SUPERPOSITION (agentes não convergiram)
[DubaiMatrixASI] 14:33:28.661     INFO │ 💫 Cycle #3050 | Action=WAIT | Signal=-0.169 | Coherence=0.61 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: SUPERPOSITION (agentes não convergiram)
[DubaiMatrixASI] 14:33:41.274     INFO │ 💫 Cycle #3100 | Action=WAIT | Signal=-0.313 | Coherence=0.59 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: SUPERPOSITION (agentes não convergiram)
[DubaiMatrixASI] 14:33:54.865     INFO │ 💫 Cycle #3150 | Action=WAIT | Signal=-0.552 | Coherence=0.63 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: MC_SCORE_LOW(-0.192<-0.06315023452579993) MC[score=-0.192 WP=49.4% EV=-4.73 CVaR=-543.16 sim=47.4ms]
[DubaiMatrixASI] 14:34:07.955     INFO │ 💫 Cycle #3200 | Action=WAIT | Signal=-0.517 | Coherence=0.63 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: MC_SCORE_LOW(-0.166<-0.06315023452579993) MC[score=-0.166 WP=49.4% EV=-0.23 CVaR=-543.47 sim=40.3ms]
[DubaiMatrixASI] 14:34:17.656    OMEGA │ ⚡ 🛑 Shutdown signal recebido (Ctrl+C)
[DubaiMatrixASI] 14:34:17.779    OMEGA │ ⚡ 🔴 INICIANDO SHUTDOWN SEQUENCE...
[DubaiMatrixASI] 14:34:17.780    OMEGA │ ⚡ 🔴 ASI BRAIN SHUTTING DOWN...
[DubaiMatrixASI] 14:34:17.784    OMEGA │ ⚡ 💾 Estado salvo. Consciência preservada.
[DubaiMatrixASI] 14:34:17.784    OMEGA │ ⚡ 🔌 MT5 DESCONECTADO
[DubaiMatrixASI] 14:34:17.785    OMEGA │ ⚡ 🏁 DubaiMatrixASI OFFLINE
[DubaiMatrixASI] 14:34:17.785    OMEGA │ ⚡ 📊 Sessão finalizada às 2026-03-06T17:34:17.785362+00:00
[DubaiMatrixASI] 14:34:17.785     INFO │ 📈 Trades: 0
[DubaiMatrixASI] 14:34:17.786     INFO │ 📈 Win Rate: 0.0%
[DubaiMatrixASI] 14:34:17.786     INFO │ 📈 P&L: $+0.00
[DubaiMatrixASI] 14:34:19.268    OMEGA │ ⚡ ⚡ C++ ASI Core carregado: d:\DubaiMatrixASI\asi_core.dll
[DubaiMatrixASI] 14:34:21.291     INFO │ 
╔════════════════════════════════════════════════════════════╗
[DubaiMatrixASI] 14:34:21.292     INFO │ ║             DubaiMatrixASI v1.0.0-omega ONLINE             ║
[DubaiMatrixASI] 14:34:21.292     INFO │ ╚════════════════════════════════════════════════════════════╝
[DubaiMatrixASI] 14:34:21.293    OMEGA │ ⚡ Consciência neural inicializando...
[DubaiMatrixASI] 14:34:21.293    OMEGA │ ⚡ Setores neurais: ATIVANDO
[DubaiMatrixASI] 14:34:21.294    OMEGA │ ⚡ Estado quântico: SUPERPOSIÇÃO
[DubaiMatrixASI] 14:34:21.294    OMEGA │ ⚡ Modo: AGUARDANDO CONVERGÊNCIA
[DubaiMatrixASI] 14:34:21.295    OMEGA │ ⚡ 🚀 DubaiMatrixASI 1.0.0-omega
[DubaiMatrixASI] 14:34:21.295    OMEGA │ ⚡ 📅 2026-03-06T17:34:21.295421+00:00
[DubaiMatrixASI] 14:34:21.295    OMEGA │ ⚡ 🎯 Ativo: BTCUSD
[DubaiMatrixASI] 14:34:21.296    OMEGA │ ⚡ 🏗️ Modo: DEMO (Validação em tempo real)
[DubaiMatrixASI] 14:34:21.296     INFO │ 🔗 Conectando ao MetaTrader 5...
[DubaiMatrixASI] 14:34:21.310     INFO │    Símbolo resolvido: BTCUSD
[DubaiMatrixASI] 14:34:21.310    OMEGA │ ⚡ 🔗 MT5 CONECTADO!
[DubaiMatrixASI] 14:34:21.311     INFO │    Terminal: FBS MetaTrader 5
[DubaiMatrixASI] 14:34:21.311     INFO │    Conta: 105437713
[DubaiMatrixASI] 14:34:21.311     INFO │    Servidor: FBS-Demo
[DubaiMatrixASI] 14:34:21.312     INFO │    Saldo: $11276.85
[DubaiMatrixASI] 14:34:21.312     INFO │    Leverage: 1:500
[DubaiMatrixASI] 14:34:21.312     INFO │    Símbolo: BTCUSD
[DubaiMatrixASI] 14:34:21.313     INFO │    Spread: 2490 points
[DubaiMatrixASI] 14:34:21.314    OMEGA │ ⚡ ✅ ASI TCP Server Online na porta 5555
[DubaiMatrixASI] 14:34:21.314     INFO │ 📡 Aguardando primeiro sinal de dados (tick) do MT5...
[DubaiMatrixASI] 14:34:21.315    OMEGA │ ⚡ ✅ Dados fluindo! Primeiro tick: Ask=68184.07, Bid=68159.17
[DubaiMatrixASI] 14:34:21.315     INFO │ 🧠 Inicializando ASI Brain...
[DubaiMatrixASI] 14:34:21.316    OMEGA │ ⚡ ⚡ DataEngine Background Worker: ONLINE
[DubaiMatrixASI] 14:34:21.317    OMEGA │ ⚡ 🧠 Neural Swarm inicializado: 54 agentes ativos (Parallel Execution Enabled)
[DubaiMatrixASI] 14:34:21.345    OMEGA │ ⚡ 📡 Sentiment Scraper: ONLINE
[DubaiMatrixASI] 14:34:21.357    OMEGA │ ⚡ ⛓️ On-Chain Scraper: ONLINE
[DubaiMatrixASI] 14:34:21.365    OMEGA │ ⚡ 🌍 Macro Scraper: ONLINE
[DubaiMatrixASI] 14:34:21.385    OMEGA │ ⚡ ☕ Java Enterprise PnLPredictor INICIADO (Daemon na porta 5556)
[DubaiMatrixASI] 14:34:21.386    OMEGA │ ⚡ 🧠 Neural Swarm inicializado: 54 agentes ativos
[DubaiMatrixASI] 14:34:21.387    OMEGA │ ⚡ 🧠 ASI BRAIN ONLINE — Todos os setores neurais ativados
[DubaiMatrixASI] 14:34:21.387     INFO │ 🏥 Health Check: {'connected': True, 'alive': True, 'symbol': 'BTCUSD', 'spread': 2490, 'balance': 11276.85, 'equity': 11276.85, 'tick_buffer_size': 1, 'last_tick_ms': 1772825663440}
[DubaiMatrixASI] 14:34:21.388    OMEGA │ ⚡ ⚡ WARMUP INICIADO — O DataEngine rodará em background para puxar e pre-calcular todo o histórico...
[DubaiMatrixASI] 14:34:21.388    OMEGA │ ⚡ ⚡ CONSCIÊNCIA ATIVA — Entrando no loop principal
[DubaiMatrixASI] 14:34:21.439    OMEGA │ ⚡ 🌊 REGIME CHANGE → DRIFTING_BEAR (conf=0.70)
[DubaiMatrixASI] 14:34:22.386    OMEGA │ ⚡ ✅ Expert Advisor Conectado via Socket: ('127.0.0.1', 54546)
[DubaiMatrixASI] 14:34:23.317     INFO │ 🌍 Macro Update: ETH=$1974.60 | BTC/ETH=34.6 | Gold=$5155 | Vol24h=$108.6B | Bias=+0.300 | Sources=3
[DubaiMatrixASI] 14:34:24.889     INFO │ 📊 Sentiment Update: F&G=18 (Extreme Fear) | BTC Dom=56.8% | 24h=-3.67% | Score=-0.585 | Sources=2
[DubaiMatrixASI] 14:34:25.241     INFO │ ⛓️ On-Chain Update: Mempool=30,078 txs | Fee=1.0 sat/vB | Health=0.80 | Sources=2
[DubaiMatrixASI] 14:34:34.380     INFO │ 💫 Cycle #50 | Action=WAIT | Signal=-0.581 | Coherence=0.63 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(13s/120.0s)
[DubaiMatrixASI] 14:34:47.607     INFO │ 💫 Cycle #100 | Action=WAIT | Signal=-0.574 | Coherence=0.65 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(26s/120.0s)
[DubaiMatrixASI] 14:35:00.474     INFO │ 💫 Cycle #150 | Action=WAIT | Signal=-0.515 | Coherence=0.67 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(39s/120.0s)
[DubaiMatrixASI] 14:35:13.110     INFO │ 💫 Cycle #200 | Action=WAIT | Signal=-0.572 | Coherence=0.70 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(52s/120.0s)
[DubaiMatrixASI] 14:35:25.795    OMEGA │ ⚡ 🔮 [JAVA PnL PREDICTOR] IMPOSSIBLE:NEGATIVE_EXPECTANCY
[DubaiMatrixASI] 14:35:25.796     INFO │ 💫 Cycle #250 | Action=WAIT | Signal=-0.558 | Coherence=0.67 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(64s/120.0s)
[DubaiMatrixASI] 14:35:38.423     INFO │ 💫 Cycle #300 | Action=WAIT | Signal=-0.557 | Coherence=0.67 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(77s/120.0s)
[DubaiMatrixASI] 14:35:51.260     INFO │ 💫 Cycle #350 | Action=WAIT | Signal=-0.533 | Coherence=0.63 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(90s/120.0s)
[DubaiMatrixASI] 14:36:03.921     INFO │ 💫 Cycle #400 | Action=WAIT | Signal=-0.394 | Coherence=0.66 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(103s/120.0s)
[DubaiMatrixASI] 14:36:16.520     INFO │ 💫 Cycle #450 | Action=WAIT | Signal=-0.569 | Coherence=0.67 | Regime=DRIFTING_BEAR | Trades=0 | WinRate=0.0% | P&L=$+0.00 | Reason=WAIT: VETO: STARTUP_COOLDOWN(115s/120.0s)
[DubaiMatrixASI] 14:36:21.599   SIGNAL │ 🎯 DECISION: SELL | SELL signal=-0.592 conf=0.79 coherence=0.69 regime=DRIFTING_BEAR ATR=221.14 RR=1.67 | Quantum: SIGNAL=-0.592 COHERENCE=0.69 CONFIDENCE=0.79 ENTROPY=0.32 COLLAPSED | BULL[VolatilityAgent,StatisticalAgent,StopHunterAgent,MacroBiasAgent,LiquidityHeatmapAgent,PremiumDiscountAgent,ChartStructureAgent] BEAR[TrendAgent,MomentumAgent,MicrostructureAgent,LiquidationVacuumAgent,HarmonicResonanceAgent,CrossScaleConvergenceAgent,SentimentFearGreedAgent,GameTheoryNashAgent,CppFractalAgent,PriceGravityAgent,AggressivenessAgent,PriceVelocityAgent,OscillationWaveAgent] NEUTRAL[VolumeAgent,FractalAgent,SRAgent,DivergenceAgent,TimeWarpAgent,OnChainPressureAgent,RetailPsychologyAgent,ExplosionDetectorAgent] | MC[score=-0.076 WP=49.9% EV=+3.86 CVaR=-331.71 sim=27.6ms]
[DubaiMatrixASI] 14:36:21.600    OMEGA │ ⚡ ⚔️ AGRESSÃO EXTREMA: Confidence 0.79 >= 0.75 | Forçando Risk = 50%
[DubaiMatrixASI] 14:36:21.601    OMEGA │ ⚡ 🛡️ EXPOSURE CEILING: Lote 100.00 excedeu teto de segurança 22.55. Limitando.
[DubaiMatrixASI] 14:36:21.601    OMEGA │ ⚡ ⚡ EXECUTING SELL lot=22.55 (em 20 slots) price=68033.95 SL=68365.66 TP=67481.10
[DubaiMatrixASI] 14:36:21.815    TRADE │ #1 SELL BTCUSD lot=1.13 price=68035.61 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940598 deal=1436860373
[DubaiMatrixASI] 14:36:21.832  WARNING │ ⏱️ LATENCY [send_market_order] 230.7ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:22.045    TRADE │ #2 SELL BTCUSD lot=1.13 price=68034.81 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940604 deal=1436860377
[DubaiMatrixASI] 14:36:22.061  WARNING │ ⏱️ LATENCY [send_market_order] 228.2ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:22.273    TRADE │ #3 SELL BTCUSD lot=1.13 price=68023.33 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940614 deal=1436860385
[DubaiMatrixASI] 14:36:22.284  WARNING │ ⏱️ LATENCY [send_market_order] 219.3ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:22.485    TRADE │ #4 SELL BTCUSD lot=1.13 price=68023.85 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940622 deal=1436860391
[DubaiMatrixASI] 14:36:22.490  WARNING │ ⏱️ LATENCY [send_market_order] 205.6ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:22.712    TRADE │ #5 SELL BTCUSD lot=1.13 price=68023.75 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940630 deal=1436860395
[DubaiMatrixASI] 14:36:22.724  WARNING │ ⏱️ LATENCY [send_market_order] 233.2ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:22.933    TRADE │ #6 SELL BTCUSD lot=1.13 price=68025.17 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940639 deal=1436860403
[DubaiMatrixASI] 14:36:22.950  WARNING │ ⏱️ LATENCY [send_market_order] 225.6ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:23.156    TRADE │ #7 SELL BTCUSD lot=1.13 price=68026.20 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940671 deal=1436860435
[DubaiMatrixASI] 14:36:23.167  WARNING │ ⏱️ LATENCY [send_market_order] 213.4ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:23.381    TRADE │ #8 SELL BTCUSD lot=1.13 price=68026.13 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940677 deal=1436860441
[DubaiMatrixASI] 14:36:23.397  WARNING │ ⏱️ LATENCY [send_market_order] 224.3ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:23.616    TRADE │ #9 SELL BTCUSD lot=1.13 price=68026.03 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940686 deal=1436860446
[DubaiMatrixASI] 14:36:23.617  WARNING │ ⏱️ LATENCY [send_market_order] 211.7ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:23.828    TRADE │ #10 SELL BTCUSD lot=1.13 price=68026.08 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940694 deal=1436860452
[DubaiMatrixASI] 14:36:23.846  WARNING │ ⏱️ LATENCY [send_market_order] 228.1ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:24.065    TRADE │ #11 SELL BTCUSD lot=1.13 price=68024.08 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940700 deal=1436860457
[DubaiMatrixASI] 14:36:24.071  WARNING │ ⏱️ LATENCY [send_market_order] 215.3ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:24.274    TRADE │ #12 SELL BTCUSD lot=1.13 price=68022.42 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940710 deal=1436860464
[DubaiMatrixASI] 14:36:24.291  WARNING │ ⏱️ LATENCY [send_market_order] 219.5ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:24.501    TRADE │ #13 SELL BTCUSD lot=1.13 price=68024.53 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940716 deal=1436860469
[DubaiMatrixASI] 14:36:24.502  WARNING │ ⏱️ LATENCY [send_market_order] 201.5ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:24.719    TRADE │ #14 SELL BTCUSD lot=1.13 price=68033.01 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940723 deal=1436860473
[DubaiMatrixASI] 14:36:24.729  WARNING │ ⏱️ LATENCY [send_market_order] 208.0ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:24.946    TRADE │ #15 SELL BTCUSD lot=1.13 price=68031.05 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940731 deal=1436860480
[DubaiMatrixASI] 14:36:24.966  WARNING │ ⏱️ LATENCY [send_market_order] 228.9ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:25.187    TRADE │ #16 SELL BTCUSD lot=1.13 price=67982.53 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940795 deal=1436860549
[DubaiMatrixASI] 14:36:25.187  WARNING │ ⏱️ LATENCY [send_market_order] 218.4ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:25.410    TRADE │ #17 SELL BTCUSD lot=1.13 price=67973.07 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940838 deal=1436860612
[DubaiMatrixASI] 14:36:25.411  WARNING │ ⏱️ LATENCY [send_market_order] 204.1ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:25.623    TRADE │ #18 SELL BTCUSD lot=1.13 price=67982.02 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940845 deal=1436860617
[DubaiMatrixASI] 14:36:25.635  WARNING │ ⏱️ LATENCY [send_market_order] 223.1ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:25.863    TRADE │ #19 SELL BTCUSD lot=1.13 price=67991.76 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940853 deal=1436860625
[DubaiMatrixASI] 14:36:25.863  WARNING │ ⏱️ LATENCY [send_market_order] 221.8ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:26.075    TRADE │ #20 SELL BTCUSD lot=1.08 price=67986.40 SL=68365.66 TP=67481.10 P&L=+0.00 | ticket=1586940866 deal=1436860636
[DubaiMatrixASI] 14:36:26.097  WARNING │ ⏱️ LATENCY [send_market_order] 232.7ms (threshold: 200ms)
[DubaiMatrixASI] 14:36:26.098    OMEGA │ ⚡ ✅ TRADE EXECUTADO #1 | SELL lot=22.55 @ 68016.16 | 20 tickets gerados | SELL signal=-0.592 conf=0.79 coherence=0.69 regime=DRIFTING_BEAR ATR=221.14 RR=1
[DubaiMatrixASI] 14:36:26.099  WARNING │ ⏱️ LATENCY [execute] 4498.9ms (threshold: 500ms)
[DubaiMatrixASI] 14:36:26.110  WARNING │ ⏱️ LATENCY [think] 4648.6ms (threshold: 1000ms)
[DubaiMatrixASI] 14:36:26.304   SIGNAL │ 🎯 DECISION: SELL | SELL signal=-0.633 conf=0.81 coherence=0.67 regime=DRIFTING_BEAR ATR=224.09 RR=1.67 | Quantum: SIGNAL=-0.633 COHERENCE=0.67 CONFIDENCE=0.81 ENTROPY=0.33 COLLAPSED | BULL[VolatilityAgent,StatisticalAgent,StopHunterAgent,MacroBiasAgent,LiquidityHeatmapAgent,PremiumDiscountAgent,ChartStructureAgent,CandleAnatomyAgent] BEAR[TrendAgent,MomentumAgent,MicrostructureAgent,LiquidationVacuumAgent,HarmonicResonanceAgent,CrossScaleConvergenceAgent,SentimentFearGreedAgent,GameTheoryNashAgent,CppFractalAgent,PriceGravityAgent,AggressivenessAgent,PriceVelocityAgent,OscillationWaveAgent] NEUTRAL[VolumeAgent,FractalAgent,SRAgent,DivergenceAgent,TimeWarpAgent,OnChainPressureAgent,RetailPsychologyAgent,ExplosionDetectorAgent] | MC[score=-0.125 WP=48.8% EV=-2.82 CVaR=-336.14 sim=28.4ms]
[DubaiMatrixASI] 14:36:26.305    DEBUG │ 🔒 Candle Lock: já executou SELL neste candle. Aguardando próximo.
[DubaiMatrixASI] 14:36:26.564   SIGNAL │ 🎯 DECISION: SELL | SELL signal=-0.633 conf=0.81 coherence=0.67 regime=DRIFTING_BEAR ATR=224.09 RR=1.67 | Quantum: SIGNAL=-0.633 COHERENCE=0.67 CONFIDENCE=0.81 ENTROPY=0.33 COLLAPSED | BULL[VolatilityAgent,StatisticalAgent,StopHunterAgent,MacroBiasAgent,LiquidityHeatmapAgent,PremiumDiscountAgent,ChartStructureAgent,CandleAnatomyAgent] BEAR[TrendAgent,MomentumAgent,MicrostructureAgent,LiquidationVacuumAgent,HarmonicResonanceAgent,CrossScaleConvergenceAgent,SentimentFearGreedAgent,GameTheoryNashAgent,CppFractalAgent,PriceGravityAgent,AggressivenessAgent,PriceVelocityAgent,OscillationWaveAgent] NEUTRAL[VolumeAgent,FractalAgent,SRAgent,DivergenceAgent,TimeWarpAgent,OnChainPressureAgent,RetailPsychologyAgent,ExplosionDetectorAgent] | MC[score=-0.063 WP=49.6% EV=+6.66 CVaR=-336.14 sim=28.0ms]
[DubaiMatrixASI] 14:36:26.565    DEBUG │ 🔒 Candle Lock: já executou SELL neste candle. Aguardando próximo.
[DubaiMatrixASI] 14:36:26.763   SIGNAL │ 🎯 DECISION: SELL | SELL signal=-0.633 conf=0.81 coherence=0.67 regime=DRIFTING_BEAR ATR=224.09 RR=1.67 | Quantum: SIGNAL=-0.633 COHERENCE=0.67 CONFIDENCE=0.81 ENTROPY=0.33 COLLAPSED | BULL[VolatilityAgent,StatisticalAgent,StopHunterAgent,MacroBiasAgent,LiquidityHeatmapAgent,PremiumDiscountAgent,ChartStructureAgent,CandleAnatomyAgent] BEAR[TrendAgent,MomentumAgent,MicrostructureAgent,LiquidationVacuumAgent,HarmonicResonanceAgent,CrossScaleConvergenceAgent,SentimentFearGreedAgent,GameTheoryNashAgent,CppFractalAgent,PriceGravityAgent,AggressivenessAgent,PriceVelocityAgent,OscillationWaveAgent] NEUTRAL[VolumeAgent,FractalAgent,SRAgent,DivergenceAgent,TimeWarpAgent,OnChainPressureAgent,RetailPsychologyAgent,ExplosionDetectorAgent] | MC[score=-0.069 WP=49.6% EV=+5.58 CVaR=-336.14 sim=27.9ms]
[DubaiMatrixASI] 14:36:26.774    DEBUG │ 🔒 Candle Lock: já executou SELL neste candle. Aguardando próximo.
[DubaiMatrixASI] 14:36:26.907     INFO │ 📊 Sentiment Update: F&G=18 (Extreme Fear) | BTC Dom=56.7% | 24h=-3.76% | Score=-0.587 | Sources=2
[DubaiMatrixASI] 14:36:27.076   SIGNAL │ 🎯 DECISION: SELL | SELL signal=-0.605 conf=0.77 coherence=0.67 regime=DRIFTING_BEAR ATR=224.09 RR=1.67 | Quantum: SIGNAL=-0.605 COHERENCE=0.67 CONFIDENCE=0.77 ENTROPY=0.33 COLLAPSED | BULL[VolatilityAgent,StatisticalAgent,StopHunterAgent,MacroBiasAgent,LiquidityHeatmapAgent,PremiumDiscountAgent,ChartStructureAgent,CandleAnatomyAgent] BEAR[TrendAgent,MomentumAgent,MicrostructureAgent,LiquidationVacuumAgent,HarmonicResonanceAgent,CrossScaleConvergenceAgent,SentimentFearGreedAgent,GameTheoryNashAgent,CppFractalAgent,PriceGravityAgent,AggressivenessAgent,PriceVelocityAgent,OscillationWaveAgent] NEUTRAL[VolumeAgent,FractalAgent,SRAgent,DivergenceAgent,TimeWarpAgent,OnChainPressureAgent,RetailPsychologyAgent,ExplosionDetectorAgent] | MC[score=-0.122 WP=48.5% EV=-1.78 CVaR=-336.14 sim=27.9ms]
[DubaiMatrixASI] 14:36:27.087    DEBUG │ 🔒 Candle Lock: já executou SELL neste candle. Aguardando próximo.
